Tip_Label,Family,Habitat,Habitat_Density,Migration,Trophic_Level,Trophic_Niche,Primary_Lifestyle,clutch_log,dev_mod_all
Perdix_perdix,Phasianidae,Grassland,Open,Sedentary,Herbivore,Omnivore,Terrestrial,1.192428055,precocial
Phasianus_colchicus,Phasianidae,Forest,Semi_open,Sedentary,Herbivore,Omnivore,Terrestrial,1.040898888,precocial
Philortyx_fasciatus,Odontophoridae,Shrubland,Semi_open,Sedentary,Herbivore,Omnivore,Terrestrial,0.698970004,precocial
Pipile_cumanensis,Cracidae,Forest,Dense,Sedentary,Herbivore,Frugivore,Insessorial,0.301029996,precocial
Plectropterus_gambensis,Anatidae,Wetland,Open,Migratory,Herbivore,Omnivore,Terrestrial,0.903089987,precocial
Polyplectron_napoleonis,Phasianidae,Forest,Dense,Sedentary,Omnivore,Omnivore,Terrestrial,0.301029996,precocial
Polysticta_stelleri,Anatidae,Marine_coastal,Open,Migratory,Carnivore,Aquatic_predator,Aquatic,0.844062783,precocial
Ptilopachus_petrosus,Phasianidae,Desert_rock,Open,Sedentary,Herbivore,Omnivore,Terrestrial,0.698970004,precocial
Rheinardia_ocellata,Phasianidae,Forest,Dense,Sedentary,Omnivore,Omnivore,Terrestrial,0.30103,precocial
Rollulus_rouloul,Phasianidae,Forest,Dense,Sedentary,Omnivore,Omnivore,Terrestrial,0.740362689,precocial
Salvadorina_waigiuensis,Anatidae,Riverine,Open,Sedentary,Carnivore,Aquatic_predator,Aquatic,0.544068044,precocial
Sarkidiornis_melanotos,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Generalist,0.997591847,precocial
Somateria_spectabilis,Anatidae,Marine_coastal,Open,Migratory,Carnivore,Aquatic_predator,Aquatic,0.662757832,precocial
Speculanas_specularis,Anatidae,Riverine,Open,Sedentary,Herbivore,Herbivore_aquatic,Generalist,0.740362689,precocial
Stictonetta_naevosa,Anatidae,Wetland,Open,Partially_migratory,Herbivore,Herbivore_aquatic,Generalist,0.844849552,precocial
Syrmaticus_mikado,Phasianidae,Forest,Dense,Sedentary,Herbivore,Omnivore,Terrestrial,0.69897,precocial
Tachyeres_brachypterus,Anatidae,Marine_coastal,Open,Partially_migratory,Carnivore,Aquatic_predator,Aquatic,0.845739391,precocial
Tachyeres_patachonicus,Anatidae,Marine_coastal,Open,Partially_migratory,Carnivore,Aquatic_predator,Aquatic,0.838149187,precocial
Tadorna_ferruginea,Anatidae,Wetland,Open,Partially_migratory,Omnivore,Omnivore,Terrestrial,0.929418926,precocial
Tadorna_radjah,Anatidae,Marine_coastal,Open,Partially_migratory,Carnivore,Aquatic_predator,Terrestrial,0.986473155,precocial
Tadorna_tadorna,Anatidae,Marine_coastal,Open,Partially_migratory,Carnivore,Aquatic_predator,Generalist,0.971159836,precocial
Tadorna_tadornoides,Anatidae,Wetland,Open,Partially_migratory,Omnivore,Omnivore,Terrestrial,0.986473155,precocial
Tadorna_variegata,Anatidae,Grassland,Open,Partially_migratory,Herbivore,Omnivore,Terrestrial,0.959836068,precocial
Thalassornis_leuconotus,Anatidae,Wetland,Open,Sedentary,Herbivore,Herbivore_aquatic,Aquatic,0.837272703,precocial
Tragopan_satyra,Phasianidae,Forest,Dense,Sedentary,Herbivore,Herbivore_terrestrial,Generalist,0.397940009,precocial
Tympanuchus_cupido,Phasianidae,Grassland,Open,Sedentary,Herbivore,Granivore,Terrestrial,1.052597763,precocial
